Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index,Row,Col,Row2,Col2
PS,Setúbal,3, António Manuel Veiga dos Santos Mendonça Mendes,0,0,4,15,1074,7,5,7,5
PS,Setúbal,4, Eurídice Maria de Sousa Pereira,0,0,4,15,1075,7,6,7,6
PS,Setúbal,5, André Alexandre Pinotes Batista,0,0,4,15,1076,7,7,7,7
PS,Setúbal,6, João Paulo de Loureiro Rebelo,0,0,4,15,1077,7,8,7,8
PS,Setúbal,7, Clarisse Maria Gaudino Veredas Campos,0,0,4,15,1078,7,9,7,9
PS,Viana do Castelo,1, Marina Sola Gonçalves,0,0,4,16,1079,7,10,7,10
PS,Viana do Castelo,2, José Maria da Cunha Costa,0,0,4,16,1080,8,1,8,1
PS,Vila Real,1, Fátima Liliana Fontes Correia Pinto,0,0,4,17,1081,8,2,8,2
PS,Vila Real,2, Carlos Manuel Gomes Matos da Silva,0,0,4,17,1082,8,3,8,3
PS,Viseu,1, Elsa Maria Henriques Deus Pais,0,0,4,18,1083,8,4,8,4
PS,Viseu,2, José Rui Alves Duarte da Cruz,0,0,4,18,1084,8,5,8,5
PS,Viseu,3, João Nuno Ferreira Gonçalves de Azevedo,0,0,4,18,1085,8,6,8,6
PS,Açores,1, Francisco Miguel Vital Gomes do Vale César,0,0,4,19,1086,8,7,8,7
PS,Açores,2, Sérgio Humberto Rocha de Ávila,0,0,4,19,1087,8,8,8,8
PS,Madeira,1, Paulo Alexandre Nascimento Cafôfo,0,0,4,20,1088,8,9,8,9
PS,Madeira,2, José Miguel Mafra Iglésias,0,0,4,20,1089,8,10,8,10
PS,Europa,1, Paulo Alexandre de Carvalho Pisco,0,0,4,21,1090,9,1,9,1
PAN,Lisboa,1, Paula Inês Alves de Sousa Real,0,0,5,11,1091,9,2,9,2
PSD,Aveiro,1, Emídio Ferreira dos Santos Sousa,0,0,6,1,1092,9,3,9,3
PSD,Aveiro,2, Silvério Rodrigues Regalado,0,0,6,1,1093,9,4,9,4
PSD,Aveiro,3, Ângela Maria Bento Rodrigues Nunes Saraiva de Almeida,0,0,6,1,1094,9,5,9,5
PSD,Aveiro,4, Salvador Malheiro Ferreira da Silva,0,0,6,1,1095,9,6,9,6
