Data,COIP,Valor
2002-09-15,HICP,125.8
2002-09-15,Cabeleireiros,155.8
2002-10-15,HICP,126.5
2002-10-15,Cabeleireiros,157.3
2002-11-15,HICP,126.5
2002-11-15,Cabeleireiros,158.2
2002-12-15,HICP,127.4
2002-12-15,Cabeleireiros,167.3
2003-01-15,HICP,126.4
2003-01-15,Cabeleireiros,163
2003-02-15,HICP,126.1
2003-02-15,Cabeleireiros,162.3
2003-03-15,HICP,129.3
2003-03-15,Cabeleireiros,163.1
2003-04-15,HICP,129.6
2003-04-15,Cabeleireiros,170.3
2003-05-15,HICP,130.2
2003-05-15,Cabeleireiros,165.7
2003-06-15,HICP,130
2003-06-15,Cabeleireiros,166.2
2003-07-15,HICP,127.3
2003-07-15,Cabeleireiros,166.6
2003-08-15,HICP,127.3
2003-08-15,Cabeleireiros,166.8
2003-09-15,HICP,129.9
2003-09-15,Cabeleireiros,167.9
2003-10-15,HICP,130.4
2003-10-15,Cabeleireiros,168
2003-11-15,HICP,130.6
2003-11-15,Cabeleireiros,168.1
2003-12-15,HICP,131.4
2003-12-15,Cabeleireiros,185.1
2004-01-15,HICP,130.3
2004-01-15,Cabeleireiros,172.1
2004-02-15,HICP,129.5
2004-02-15,Cabeleireiros,170.5
2004-03-15,HICP,133.1
2004-03-15,Cabeleireiros,171.1
2004-04-15,HICP,133.6
2004-04-15,Cabeleireiros,176.4
2004-05-15,HICP,134.2
2004-05-15,Cabeleireiros,172.4
2004-06-15,HICP,133.9
2004-06-15,Cabeleireiros,173.9
2004-07-15,HICP,131.3
2004-07-15,Cabeleireiros,175
2004-08-15,HICP,130.9
2004-08-15,Cabeleireiros,175.1
2004-09-15,HICP,133.7
2004-09-15,Cabeleireiros,175.5
2004-10-15,HICP,134.7
2004-10-15,Cabeleireiros,176.3
2004-11-15,HICP,134.8
2004-11-15,Cabeleireiros,176.9
2004-12-15,HICP,135.5
2004-12-15,Cabeleireiros,191.3
2005-01-15,HICP,135.8
2005-01-15,Cabeleireiros,182.4
2005-02-15,HICP,133.5
2005-02-15,Cabeleireiros,179.5
2005-03-15,HICP,136.9
2005-03-15,Cabeleireiros,180
2005-04-15,HICP,138
2005-04-15,Cabeleireiros,184.7
2005-05-15,HICP,138.5
2005-05-15,Cabeleireiros,186.3
2005-06-15,HICP,138.2
2005-06-15,Cabeleireiros,185.3
2005-07-15,HICP,136.4
2005-07-15,Cabeleireiros,185.3
2005-08-15,HICP,135.6
2005-08-15,Cabeleireiros,185.4
2005-09-15,HICP,138.8
2005-09-15,Cabeleireiros,185.8
2005-10-15,HICP,139.7
2005-10-15,Cabeleireiros,185.9
2005-11-15,HICP,139.4
2005-11-15,Cabeleireiros,186.1
2005-12-15,HICP,140.2
2005-12-15,Cabeleireiros,197.6
2006-01-15,HICP,139.9
2006-01-15,Cabeleireiros,191.4
2006-02-15,HICP,137.7
2006-02-15,Cabeleireiros,188.3
2006-03-15,HICP,141.5
2006-03-15,Cabeleireiros,188.3
2006-04-15,HICP,142.9
2006-04-15,Cabeleireiros,191.8
2006-05-15,HICP,143
2006-05-15,Cabeleireiros,190.4
2006-06-15,HICP,143
2006-06-15,Cabeleireiros,190.7
2006-07-15,HICP,141.7
2006-07-15,Cabeleireiros,190.7
2006-08-15,HICP,140.3
2006-08-15,Cabeleireiros,191
2006-09-15,HICP,143.2
2006-09-15,Cabeleireiros,191.3
2006-10-15,HICP,144.1
2006-10-15,Cabeleireiros,192.3
2006-11-15,HICP,143.9
2006-11-15,Cabeleireiros,192.6
2006-12-15,HICP,144.7
2006-12-15,Cabeleireiros,200.8
2007-01-15,HICP,144.1
2007-01-15,Cabeleireiros,196.4
2007-02-15,HICP,141.9
2007-02-15,Cabeleireiros,194.2
2007-03-15,HICP,145.4
2007-03-15,Cabeleireiros,194.2
2007-04-15,HICP,146.5
2007-04-15,Cabeleireiros,197.4
2007-05-15,HICP,146.8
2007-05-15,Cabeleireiros,194.6
2007-06-15,HICP,146.7
2007-06-15,Cabeleireiros,195.1
2007-07-15,HICP,145.6
2007-07-15,Cabeleireiros,195.5
2007-08-15,HICP,144.1
2007-08-15,Cabeleireiros,195.7
2007-09-15,HICP,147.4
2007-09-15,Cabeleireiros,196.7
2007-10-15,HICP,148.4
2007-10-15,Cabeleireiros,197.5
2007-11-15,HICP,149.5
2007-11-15,Cabeleireiros,197.7
2007-12-15,HICP,150.3
2007-12-15,Cabeleireiros,206.4
2008-01-15,HICP,149.8
2008-01-15,Cabeleireiros,201.6
2008-02-15,HICP,148.3
2008-02-15,Cabeleireiros,199.6
2008-03-15,HICP,151.7
2008-03-15,Cabeleireiros,201.1
2008-04-15,HICP,153
2008-04-15,Cabeleireiros,204.7
