Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index
PS,Setúbal,6, João Paulo de Loureiro Rebelo,0,0,4,15,1078
PS,Setúbal,7, Clarisse Maria Gaudino Veredas Campos,0,0,4,15,1079
PS,Viana do Castelo,1, Marina Sola Gonçalves,0,0,4,16,1080
PS,Viana do Castelo,2, José Maria da Cunha Costa,0,0,4,16,1081
PS,Vila Real,1, Fátima Liliana Fontes Correia Pinto,0,0,4,17,1082
PS,Vila Real,2, Carlos Manuel Gomes Matos da Silva,0,0,4,17,1083
PS,Viseu,1, Elsa Maria Henriques Deus Pais,0,0,4,18,1084
PS,Viseu,2, José Rui Alves Duarte da Cruz,0,0,4,18,1085
PS,Viseu,3, João Nuno Ferreira Gonçalves de Azevedo,0,0,4,18,1086
PS,Açores,1, Francisco Miguel Vital Gomes do Vale César,0,0,4,19,1087
PS,Açores,2, Sérgio Humberto Rocha de Ávila,0,0,4,19,1088
PS,Madeira,1, Paulo Alexandre Nascimento Cafôfo,0,0,4,20,1089
PS,Madeira,2, José Miguel Mafra Iglésias,0,0,4,20,1090
PS,Europa,1, Paulo Alexandre de Carvalho Pisco,0,0,4,21,1091
PAN,Lisboa,1, Paula Inês Alves de Sousa Real,0,0,5,11,1092
PSD,Aveiro,1, Emídio Ferreira dos Santos Sousa,0,0,6,1,1093
PSD,Aveiro,2, Silvério Rodrigues Regalado,0,0,6,1,1094
PSD,Aveiro,3, Ângela Maria Bento Rodrigues Nunes Saraiva de Almeida,0,0,6,1,1095
PSD,Aveiro,4, Salvador Malheiro Ferreira da Silva,0,0,6,1,1096
PSD,Aveiro,5, Almiro Miguel Santos Rodrigues Moreira,0,0,6,1,1097
PSD,Aveiro,6, Maria Paula da Graça Cardoso,0,0,6,1,1098
PSD,Aveiro,7, Paulo Cesar Lima Cavaleiro,0,0,6,1,1099
PSD,Beja,1, Gonçalo Nuno Raio Valente e Henrique,0,0,6,2,1100
PSD,Braga,1, Hugo Alexandre Lopes Soares,0,0,6,3,1101
PSD,Braga,2, Ricardo José Machado Pereira da Silva Araújo,0,0,6,3,1102
PSD,Braga,3, Maria Clara Gonçalves Marques Mendes,0,0,6,3,1103
PSD,Braga,4, Jorge Paulo da Silva Oliveira,0,0,6,3,1104
PSD,Braga,5, Emídio Guerreiro,0,0,6,3,1105
PSD,Braga,6, Ana Cristina Rodrigues dos Santos Araújo,0,0,6,3,1106
PSD,Braga,7, Carlos Eduardo Vasconcelos Fernandes Ribeiro dos Reis,0,0,6,3,1107
PSD,Braga,8, Carlos Manuel de Brito Cação,0,0,6,3,1108
PSD,Bragança,1, Hernâni Dinis Venâncio Dias,0,0,6,4,1109
PSD,Bragança,2, Nuno Jorge Rodrigues Gonçalves,0,0,6,4,1110
PSD,Castelo Branco,1, Liliana Domingues Reis Ferreira,0,0,6,5,1111
PSD,Coimbra,1, Rita Fragoso de Rhodes Alarcão Júdice de Abreu e Mota,0,0,6,6,1112
PSD,Coimbra,2, Maurício Teixeira Marques,0,0,6,6,1113
PSD,Coimbra,3, Martim Arnaut Syder,0,0,6,6,1114
PSD,Évora,1, Sónia Cristina Silva dos Ramos,0,0,6,7,1115
PSD,Faro,1, Miguel Martinez de Castro Pinto Luz,0,0,6,8,1116
PSD,Faro,2, Cristóvão Duarte Nunes Guerreiro Norte,0,0,6,8,1117
PSD,Faro,3, Ofélia Isabel Andrés da Conceição Ramos,0,0,6,8,1118
PSD,Guarda,1, Dulcineia Catarina Moura de Sousa Coito,0,0,6,9,1119
PSD,Leiria,1, Telmo Henrique Correia Daniel Faria,0,0,6,10,1120
PSD,Leiria,2, Hugo Patricio Martinho de Oliveira,0,0,6,10,1121
PSD,Leiria,3, Sofia Isabel Carreira,0,0,6,10,1122
PSD,Leiria,4, João Paulo Antunes dos Santos,0,0,6,10,1123
PSD,Leiria,5, Ricardo António Beato de Carvalho,0,0,6,10,1124
PSD,Lisboa,1, Luís Filipe Montenegro Cardoso de Morais Esteves,0,0,6,11,1125
PSD,Lisboa,2, Joaquim José Miranda Sarmento,0,0,6,11,1126
PSD,Lisboa,3, Ana Paula Mecheiro de Almeida Martins Silvestre Correia,0,0,6,11,1127
PSD,Lisboa,5, João Mário Mc Millan da Cunha Vale e Azevedo,0,0,6,11,1128
PSD,Lisboa,6, Sandra Cristina de Sequeiros Pereira,0,0,6,11,1129
PSD,Lisboa,7, Bruno Miguel Pedrosa Ventura,0,0,6,11,1130
PSD,Lisboa,8, Manuel Alexandre Mateus Homem Cristo,0,0,6,11,1131
PSD,Lisboa,9, Margarida Maria de Moura Alves da Silva de Almeida Saavedra,0,0,6,11,1132
PSD,Lisboa,10, Alexandre Damasceno da Silva Poço,0,0,6,11,1133
PSD,Lisboa,11, Gonçalo Oliveira Lage,0,0,6,11,1134
PSD,Lisboa,12, Eva Luna Brás Pinho,0,0,6,11,1135
PSD,Lisboa,13, Marco Henriques Claudino,0,0,6,11,1136
PSD,Lisboa,14, Luís Pedro Alves Caetano Newton Parreira,0,0,6,11,1137
PSD,Porto,1, José Miguel Ribeiro de Castro Guimarães,0,0,6,13,1138
PSD,Porto,3, Maria Germana de Sousa Rocha,0,0,6,13,1139
PSD,Porto,4, Óscar João Atanázio Afonso,0,0,6,13,1140
PSD,Porto,5, Alberto Amaro Guedes Machado,0,0,6,13,1141
PSD,Porto,6, Andreia Carina Machado da Silva Neto,0,0,6,13,1142
PSD,Porto,7, António Pedro Roque da Visitação Oliveira,0,0,6,13,1143
PSD,Porto,8, Francisco Sérgio Covelinhas Lopes,0,0,6,13,1144
PSD,Porto,9, Olga Cristina Rodrigues da Veiga Freire,0,0,6,13,1145
PSD,Porto,10, Hugo Miguel de Sousa Carneiro,0,0,6,13,1146
