Country,Year,Age,PopMale,PopFemale,PopTotal,RelMasc
Portugal,1951,32,50007,53088,103095,94.1964
Portugal,1951,33,51629,54751,106380,94.2978
Portugal,1951,34,50716,54677,105393,92.7556
Portugal,1951,35,53999,57523,111522,93.8738
Portugal,1951,36,54707,59195,113902,92.4183
Portugal,1951,37,53852,57968,111820,92.8995
Portugal,1951,38,57752,63036,120788,91.6175
Portugal,1951,39,52695,56218,108913,93.7333
Portugal,1951,40,60051,66567,126618,90.2114
Portugal,1951,41,44162,46927,91089,94.1079
Portugal,1951,42,52492,57739,110231,90.9126
Portugal,1951,43,46278,52806,99084,87.6378
Portugal,1951,44,45216,52772,97988,85.6818
Portugal,1951,45,46792,53356,100148,87.6977
Portugal,1951,46,41737,49555,91292,84.2236
Portugal,1951,47,40797,48721,89518,83.736
Portugal,1951,48,43265,52905,96170,81.7787
Portugal,1951,49,38498,44877,83375,85.7856
Portugal,1951,50,46473,57489,103962,80.8381
Portugal,1951,51,31135,36028,67163,86.4189
Portugal,1951,52,35434,43493,78927,81.4706
Portugal,1951,53,31931,39424,71355,80.9938
Portugal,1951,54,30937,38608,69545,80.1311
Portugal,1951,55,32048,40298,72346,79.5275
Portugal,1951,56,30931,39387,70318,78.531
Portugal,1951,57,28149,35617,63766,79.0325
Portugal,1951,58,29972,39105,69077,76.6449
Portugal,1951,59,25235,31401,56636,80.3637
Portugal,1951,60,32694,46221,78915,70.7341
Portugal,1951,61,21084,26175,47259,80.5501
Portugal,1951,62,25499,33523,59022,76.0642
Portugal,1951,63,23845,31669,55514,75.2945
Portugal,1951,64,22380,30982,53362,72.2355
Portugal,1951,65,22129,32199,54328,68.7257
Portugal,1951,66,21479,30225,51704,71.0637
Portugal,1951,67,18423,25901,44324,71.1285
Portugal,1951,68,18440,27404,45844,67.2894
Portugal,1951,69,14576,19734,34310,73.8624
Portugal,1951,70,19831,30604,50435,64.7987
Portugal,1951,71,11358,15260,26618,74.4299
Portugal,1951,72,13876,20425,34301,67.9364
Portugal,1951,73,12425,17225,29650,72.1335
Portugal,1951,74,11076,16358,27434,67.71
Portugal,1951,75,11159,18357,29516,60.7888
Portugal,1951,76,9215,14573,23788,63.2334
Portugal,1951,77,7908,12415,20323,63.6971
Portugal,1951,78,7696,13081,20777,58.8334
Portugal,1951,79,4953,7976,12929,62.0988
Portugal,1951,80,5329,10102,15431,52.7519
Portugal,1951,81,4487,8707,13194,51.5332
Portugal,1951,82,3703,7533,11236,49.157
Portugal,1951,83,3074,6587,9661,46.6677
Portugal,1951,84,2489,5598,8087,44.4623
Portugal,1951,85,1962,4633,6595,42.3484
