DICOFRE,Freguesia,Concelho,Distrito,Area_ha,Des_Simpli,População,X,Y,Meridian
010606,Real,Castelo de Paiva,Aveiro,3310.65,Real,1194,-11996.34162,147028.2788,0
010607,Santa Maria de Sardoura,Castelo de Paiva,Aveiro,1006.33,Santa Maria de Sardoura,2274,-14256.7694,153598.9909,0
010608,São Martinho de Sardoura,Castelo de Paiva,Aveiro,431.22,São Martinho de Sardoura,1849,-12737.24822,153889.9295,0
010610,União das freguesias de Raiva, Pedorido e Paraíso,Castelo de Paiva,Aveiro,4937.28,Raiva, Pedorido e Paraíso,4208,-17489.74869,149926.3437,0
010611,União das freguesias de Sobrado e Bairros,Castelo de Paiva,Aveiro,1404.04,Sobrado e Bairros,4784,-10190.70418,151668.2593,0
010702,Espinho,Espinho,Aveiro,176.62,Espinho,10432,-42708.15225,148853.3564,-1
010704,Paramos,Espinho,Aveiro,587.17,Paramos,3127,-42092.41087,145253.3162,-1
010705,Silvalde,Espinho,Aveiro,545.48,Silvalde,6108,-41817.469,147117.2352,-1
010706,União das freguesias de Anta e Guetim,Espinho,Aveiro,796.4,Anta e Guetim,11376,-40468.05368,148889.2197,-1
010801,Avanca,Estarreja,Aveiro,2106.73,Avanca,5732,-36927.83799,126416.6233,-1
010805,Pardilhó,Estarreja,Aveiro,1570.25,Pardilhó,4232,-41441.89168,125414.199,-1
010806,Salreu,Estarreja,Aveiro,1653.91,Salreu,3673,-36305.33399,119033.4992,-1
010808,União das freguesias de Beduído e Veiros,Estarreja,Aveiro,3184.25,Beduído e Veiros,9903,-37696.82212,121442.1834,-1
010809,União das freguesias de Canelas e Fermelã,Estarreja,Aveiro,2302.19,Canelas e Fermelã,2673,-35333.31422,116143.2794,-1
010901,Argoncilhe,Santa Maria da Feira,Aveiro,821.34,Argoncilhe,8181,-34226.03538,150140.7883,-1
010902,Arrifana,Santa Maria da Feira,Aveiro,529.47,Arrifana,6311,-31325.3848,138068.6824,-1
010907,Fiães,Santa Maria da Feira,Aveiro,637.82,Fiães,7096,-32743.81093,146372.209,-1
010908,Fornos,Santa Maria da Feira,Aveiro,313.64,Fornos,3433,-33501.67418,138282.2648,-1
010913,Lourosa,Santa Maria da Feira,Aveiro,577.4,Lourosa,8003,-34566.38336,145961.3811,-1
010914,Milheirós de Poiares,Santa Maria da Feira,Aveiro,786.51,Milheirós de Poiares,3594,-28749.01439,139303.666,-1
010916,Mozelos,Santa Maria da Feira,Aveiro,580.94,Mozelos,7297,-36360.94043,147646.0402,-1
010917,Nogueira da Regedoura,Santa Maria da Feira,Aveiro,509.91,Nogueira da Regedoura,5723,-37793.56711,148761.9697,-1
010918,São Paio de Oleiros,Santa Maria da Feira,Aveiro,390.53,São Paio de Oleiros,3661,-39044.59609,146625.3791,-1
010919,Paços de Brandão,Santa Maria da Feira,Aveiro,355.62,Paços de Brandão,4775,-38504.15248,145045.5207,-1
010921,Rio Meão,Santa Maria da Feira,Aveiro,668.33,Rio Meão,4813,-38147.60927,143154.0206,-1
010922,Romariz,Santa Maria da Feira,Aveiro,1107.99,Romariz,2739,-26898.72091,141929.2435,-1
010924,Sanguedo,Santa Maria da Feira,Aveiro,456.56,Sanguedo,3474,-32560.67293,148938.6651,-1
010925,Santa Maria de Lamas,Santa Maria da Feira,Aveiro,375.45,Santa Maria de Lamas,4747,-36562.04316,145634.477,-1
010926,São João de Ver,Santa Maria da Feira,Aveiro,1537.45,São João de Ver,11026,-35029.79146,142836.3067,-1
010932,União das freguesias de Caldas de São Jorge e Pigeiros,Santa Maria da Feira,Aveiro,1064,Caldas de São Jorge e de Pigeiros,3688,-30582.98615,142841.5735,-1
010933,União das freguesias de Canedo, Vale e Vila Maior,Santa Maria da Feira,Aveiro,4369.6,Canedo, Vale e Vila Maior,8882,-26545.26815,149147.6113,-1
010934,União das freguesias de Lobão, Gião, Louredo e Guisande,Santa Maria da Feira,Aveiro,2358.22,Lobão, Gião, Louredo e Guisande,9647,-28154.40146,145823.3936,-1
010936,União de freguesias de São Miguel de Souto e Mosteirô,Santa Maria da Feira,Aveiro,1380.26,São Miguel de Souto e Mosteirô,6481,-35127.54693,135998.0383,-1
011005,Gafanha da Encarnação,Ílhavo,Aveiro,1098.28,Gafanha da Encarnação,5318,-50931.55977,105028.2865,-1
011006,Gafanha da Nazaré,Ílhavo,Aveiro,1643.59,Gafanha da Nazaré,15551,-49312.97139,107907.7003,-1
011007,Gafanha do Carmo,Ílhavo,Aveiro,705.49,Gafanha do Carmo,1691,-51724.88144,102437.713,-1
011008,Ílhavo (São Salvador),Ílhavo,Aveiro,3900.2,Ílhavo (São Salvador),16675,-45884.979,102906.6699,-1
011102,Barcouço,Mealhada,Aveiro,2130.89,Barcouço,2090,-29864.64609,70491.86875,-1
